char	code	code_short	code_more	key_unit	stroke_unit	char_unit	units	flag	segments
无	fqv	fq		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2,3
云	fcu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2,3
专	fnyi	fny		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0,1/2/3
扎	rnn			0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3
艺	anb			0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0-2/3
木	ssss			1	0	1	〖※※※〗		0-3/0-3/0-3/0-3
五	gghg	gg/ggh		0	0	1	〖※※※〗		0-3/0/1/3
支	fcu	fc		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2,3
厅	dsk	ds		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2,3
不	gii	i/gi		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1-3
犬	dgty			0	0	1	〖※※※〗		0-3/0/1/3
太	dyi	dy		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3
区	aqi	aq		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,3/1,2
历	dlv	dl	⊙dle	0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2,3
友	dcu	dc		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2,3
尤	dnv			0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1,3/2
匹	aqv			0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,3/1,2
车	lgnh	lg/lgn		0	0	1	〖※※※〗		0-3/0/1/3
巨	and			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,3/1,2
牙	ahte	ah/aht		0	0	0	〖※※※〗	丿·杂合〔丿 ⿻〕	0,1/2/3
戈	agnt		⊙agny	0	0	1	〖※※※〗		*0-3/0/1/2
比	xxn	xx		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
互	gxgd	gx/gxg		0	0	0	〖※※※〗	横·杂合〔一 ⿻〕	0/1,2/3
切	avn	av	⊙avt	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
瓦	gnyn	gnn	⊙gnny	0	0	0	〖※※※〗		*0/1/3/2
止	hhhg	hh/hhg	⊙hhgg	0	0	1	〖※※※〗		*0-3/0/2/3
少	itr	it		0	0	0	〖※※〗	丿·上下〔丿 ⿱〕	0-2/3
曰	jhng			0	0	1	〖※※※〗		0-3/0/1/3
日	jjjj			1	0	1	〖※※※〗		0-3/0-3/0-3/0-3
中	khk	k/kh		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0-2/3
贝	mhny			0	0	1	〖※※※〗		0-3/0/1/3
内	mwi	mw		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3
水	iiii	ii/iii		1	0	1	〖※※※〗		0-3/0-3/0-3/0-3
见	mqb			0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0,1/2,3
午	tfj			0	0	0	〖※※〗	竖·上下〔丨 ⿱〕	0,1/2,3
牛	rhk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0-2/3
手	rtgh	rt/rtg		0	0	1	〖※※※〗		0-3/0/1/3
气	rnb			0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0-2/3
毛	tfnv	tfn		0	0	0	〖※※※〗	折·杂合〔乛 ⿻〕	0/1,2/3
升	tak			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0/1-3
长	tayi	ta/tay		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0/1,2/3
仁	wfg			0	0	0	〖※※〗	横·左右〔一 ⿰〕	0,1/2,3
什	wfh			0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0,1/2,3
片	thgn	thg		0	0	0	〖※※※〗		0/1/2/3
化	wxn	wx		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
仇	wvn			0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
币	tmhk	tmh		0	0	0	〖※※※〗	竖·杂合〔丨 ⿻〕	0/1,2/3
仍	wen	we	⊙wet	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
仅	wcy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2,3
斤	rtth	rtt		0	0	1	〖※※※〗		0-3/0/1/3
爪	rhyi			0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0,1/2/3
反	rci	rc		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3
介	wjj	wj		0	0	0	〖※※〗	竖·上下〔丨 ⿱〕	0,1/2,3
父	wqu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2,3
从	wwy	ww		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2,3
今	wynb			0	0	0	〖※※※〗	折·上下〔乛 ⿱〕	0,1/2/3
凶	qbk	qb		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2,3
分	wvb	wv	⊙wvr	0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0,1/2,3
乏	tpi		⊙tpu	0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1-3
公	wcu	wc		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2,3
仓	wbb			0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0,1/2,3
月	eeee	eee		1	0	1	〖※※※〗		0-3/0-3/0-3/0-3
氏	qav	qa		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2,3
欠	qwu	qw		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2,3
风	mqi	mq		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3
丹	myd			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,1/2,3
匀	qud	qu		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,1/2,3
乌	qngd	qng		0	0	0	〖※※※〗	横·杂合〔一 ⿻〕	0,1/2/3
勾	qci			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3
凤	mci	mc		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3
六	uygy	uy		0	0	1	〖※※※〗		0-3/0/1/3
文	yygy			0	0	1	〖※※※〗		0-3/0/1/3
方	yygn	yy	⊙yygt	0	0	1	〖※※※〗		*0-3/0/1/2
火	oooo	ooo		1	0	1	〖※※※〗		0-3/0-3/0-3/0-3
为	ylyi	o/yl/yly		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0/1,2/3
斗	ufk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2,3
忆	nnn	nn		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3
计	yfh	yf		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0,1/2,3
订	ysh	ys		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0,1/2,3
户	yne			0	0	0	〖※※〗	丿·杂合〔丿 ⿻〕	0/1-3
认	ywy	yw		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2,3
心	nyny	ny		0	0	1	〖※※※〗		0-3/0/1/3
尺	nyi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3
引	xhh	xh		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0-2/3
丑	nfd		⊙nhfd	0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0/1-3
巴	cnhn	cnh		0	0	1	〖※※※〗		0-3/0/1/3
孔	bnn			0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3
队	bwy	bw		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2,3
办	lwi	lw		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	*0,1/2,3
以	nywy	c/nyw		0	0	0	〖※※※〗	捺·左右〔丶 ⿰〕	0/1/2,3
允	cqb	cq		0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0,1/2,3
予	cbj			0	0	0	〖※※〗	竖·上下〔丨 ⿱〕	0,1/2,3
邓	cbh	cb		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0,1/2,3
劝	cln	cl	⊙clt	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
双	ccy	cc		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2,3
书	nnhy	nnh		0	0	0	〖※※※〗		0/1/2/3
幻	xnn			0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2,3
玉	gyi	gy		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-3/4
刊	fjh			0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0-2/3,4
未	fii			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2-4
末	gsi	gs		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1-4
示	fiu	fi		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2-4
击	fmk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2-4
打	rsh	rs		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0-2/3,4
巧	agnn			0	0	0	〖※※※〗	折·左右〔乛 ⿰〕	0-2/3/4
正	ghd			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0/1-4
扑	rhy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0-2/3,4
功	aln	al	⊙alt	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3,4
扔	ren	re	⊙ret	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3,4
去	fcu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3,4
甘	afd			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0-2/3,4
世	anv	an		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0-3/4
艾	aqu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3,4
古	dghg	dgh		0	0	1	〖※※※〗		0-4/0/1/4
节	abj	ab		0	0	0	〖※※〗	竖·上下〔丨 ⿱〕	0-2/3,4
本	sgd	sg		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0-3/4
术	syi	sy		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-3/4
可	skd	sk		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,1/2-4
丙	gmwi	gmw		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0/1,2/3,4
左	daf	da		0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
厉	ddnv	ddn		0	0	0	〖※※※〗	折·杂合〔乛 ⿻〕	*0,1/2,4/3
石	dgtg			0	0	1	〖※※※〗		0-4/0/1/4
右	dkf	dk		0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
布	dmhj	dmh		0	0	0	〖※※※〗	竖·上下〔丨 ⿱〕	0,1/2,3/4
龙	dxv	dx	⊙dxe	0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1,4/2,3
平	guhk	gu/guh		0	0	0	〖※※※〗	竖·杂合〔丨 ⿻〕	0/1-3/4
灭	goi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1-4
东	aii	ai		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2-4
卡	hhu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3,4
北	uxn	ux		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3,4
占	hkf	hk		0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
卢	hne	hn	⊙hnr	0	0	0	〖※※〗	丿·杂合〔丿 ⿻〕	0,1/2-4
业	ogd	og		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0-3/4
旧	hjg	hj		0	0	0	〖※※〗	横·左右〔一 ⿰〕	0/1-4
帅	jmhh	jmh		0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0,1/2,3/4
归	jvg	jv		0	0	0	〖※※〗	横·左右〔一 ⿰〕	0,1/2-4
旦	jgf			0	0	0	〖※※〗	横·上下〔一 ⿱〕	0-3/4
目	hhhh	hhh		1	0	1	〖※※※〗		0-4/0-4/0-4/0-4
且	egd	eg		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0-3/4
叶	kfh	kf		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0-2/3,4
甲	lhnh			0	0	1	〖※※※〗		0-4/0/1/4
申	jhk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0-3/4
叮	ksh			0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0-2/3,4
电	jnv	jn		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0-3/4
号	kgnb	kgn		0	0	0	〖※※※〗	折·上下〔乛 ⿱〕	0-2/3/4
田	llll	lll		1	0	1	〖※※※〗		0-4/0-4/0-4/0-4
由	mhng	mh		0	0	1	〖※※※〗		0-4/0/1/4
只	kwu	kw		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3,4
叭	kwy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0-2/3,4
史	kqi	kq		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3,4
央	mdi	md		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2-4
兄	kqb			0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0-2/3,4
叫	knhh	kn/knh		0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0-2/3/4
另	klb	kl	⊙klr	0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0-2/3,4
叹	kcy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0-2/3,4
凹	mmgd		⊙hnmg	0	0	0	〖※※※〗	横·杂合〔一 ⿻〕	0,1/2,3/4
四	lhng	lh		0	0	1	〖※※※〗		0-4/0/1/4
生	tgd	tg		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0/1-4
失	rwi	rw		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3,4
丘	rgd			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0-3/4
付	wfy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2-4
仗	wdyy			0	0	0	〖※※※〗	捺·左右〔丶 ⿰〕	0,1/2,3/4
代	way	wa		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2-4
仙	wmh	wm		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0,1/2-4
们	wun	wu		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2-4
仪	wyqy	wyq		0	0	0	〖※※※〗	捺·左右〔丶 ⿰〕	0,1/2/3,4
白	rrrr	rrr		1	0	1	〖※※※〗		0-4/0-4/0-4/0-4
仔	wbg			0	0	0	〖※※〗	横·左右〔一 ⿰〕	0,1/2-4
他	wbn	wb		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2-4
斥	ryi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-3/4
瓜	rcyi	rcy		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3/4
乎	tuhk	tuh		0	0	0	〖※※※〗	竖·杂合〔丨 ⿻〕	0/1-3/4
丛	wwgf	wwg		0	0	0	〖※※※〗	横·上下〔一 ⿱〕	0,1/2,3/4
令	wycu	wyc		0	0	0	〖※※※〗	捺·上下〔丶 ⿱〕	0,1/2/3,4
用	etnh	et		0	0	1	〖※※※〗		0-4/0/1/4
甩	env	en		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0-3/4
印	qgbh	qgb		0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0,1/2/3,4
尔	qiu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2-4
乐	qii	qi		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2-4
句	qkd			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,1/2-4
匆	qryi	qry		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0,1/2,3/4
册	mmgd	mm		0	0	0	〖※※※〗	横·杂合〔一 ⿻〕	0,1/2,3/4
犯	qtbn			0	0	0	〖※※※〗	折·左右〔乛 ⿰〕	0,1/2/3,4
外	qhy	qh		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0-2/3,4
处	thi	th		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3,4
冬	tuu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3,4
鸟	qyng			0	0	0	〖※※※〗		0,1/2/3/4
务	tlb	tl	⊙tlr	0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0-2/3,4
包	qnv	qn		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2-4
饥	qnmn	qnm		0	0	0	〖※※※〗	折·左右〔乛 ⿰〕	0,1/2/3,4
主	ygd	y/yg		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0/1-4
市	ymhj			0	0	0	〖※※※〗	竖·上下〔丨 ⿱〕	0,1/2,3/4
立	uuuu	uu/uuu		1	0	1	〖※※※〗		0-4/0-4/0-4/0-4
冯	ucg	uc		0	0	0	〖※※〗	横·左右〔一 ⿰〕	0,1/2-4
玄	yxu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0,1/2-4
闪	uwi	uw		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3,4
兰	uff			0	0	0	〖※※〗	横·上下〔一 ⿱〕	0-2/3,4
半	ufk	uf		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0-2/3,4
汁	ifh			0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0-2/3,4
汇	ian			0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3,4
头	udi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2-4
汉	icy	ic		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0-2/3,4
宁	psj	ps		0	0	0	〖※※〗	竖·上下〔丨 ⿱〕	0-2/3,4
穴	pwu			0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3,4
它	pxb	px		0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0-2/3,4
讨	yfy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2-4
写	pgng	pgn		0	0	0	〖※※※〗		0,1/2/3/4
让	yhg	yh		0	0	0	〖※※〗	横·左右〔一 ⿰〕	0,1/2-4
礼	pynn			0	0	0	〖※※※〗	折·左右〔乛 ⿰〕	0-2/3/4
训	ykh	yk		0	0	0	〖※※〗	竖·左右〔丨 ⿰〕	0,1/2-4
议	yyqy	yyq		0	0	0	〖※※※〗	捺·左右〔丶 ⿰〕	0,1/2/3,4
必	nte	nt		0	0	0	〖※※〗	丿·杂合〔丿 ⿻〕	*0-2,4/3
讯	ynfh	ynf		0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0,1/2/3,4
记	ynn	yn		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2-4
永	ynii	yni		0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0/1/2-4
司	ngkd	ngk		0	0	0	〖※※※〗	横·杂合〔一 ⿻〕	0/1/2-4
尼	nxv	nx		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0-2/3,4
民	nav	n/na		0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0-2/3,4
弗	xjk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0-2/3,4
出	bmk	bm		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2-4
辽	bpk	bp		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2-4
奶	ven	ve	⊙vet	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3,4
奴	vcy			0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0-2/3,4
召	vkf			0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
加	lkg	lk		0	0	0	〖※※〗	横·左右〔一 ⿰〕	0,1/2-4
皮	hci	hc		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0-2/3,4
边	lpv	lp	⊙lpe	0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2-4
孕	ebf			0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
发	ntcy	v/ntc		0	0	0	〖※※※〗		0/1/2,3/4
圣	cff			0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
对	cfy	cf		0	0	0	〖※※〗	捺·左右〔丶 ⿰〕	0,1/2-4
台	ckf	ck		0	0	0	〖※※〗	横·上下〔一 ⿱〕	0,1/2-4
矛	cbtr	cbt		0	0	0	〖※※※〗	丿·上下〔丿 ⿱〕	0,1/2,3/4
纠	xnhh	xnh		0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0-2/3/4
母	xgui		⊙xyyi	0	0	0	〖※※※〗	捺·杂合〔丶 ⿻〕	0,1/3/2,4
幼	xln		⊙xlt	0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0-2/3,4
丝	xxgf	xxg		0	0	0	〖※※※〗	横·上下〔一 ⿱〕	0,1/2,3/4
邦	dtbh	dtb		0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0-2/3/4-5
式	aad	aa		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,4,5/1-3
刑	gajh			0	0	0	〖※※※〗	竖·左右〔丨 ⿰〕	0/1-3/4-5
动	fcln	fcl	⊙fclt	0	0	0	〖※※※〗	折·左右〔乛 ⿰〕	0,1/2,3/4,5
寺	ffu	ff		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0-2/3-5
吉	fkf	fk		0	0	0	〖※※〗	横·上下〔一 ⿱〕	0-2/3-5
扣	rkg	rk		0	0	0	〖※※〗	横·左右〔一 ⿰〕	0-2/3-5
